"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2025","1.1343","1.1313","1.1370","1.1280","","0.27%"
"05/05/2025","1.1312","1.1319","1.1365","1.1292","","0.14%"
"05/02/2025","1.1296","1.1288","1.1381","1.1273","","0.04%"
"05/01/2025","1.1292","1.1329","1.1342","1.1266","","-0.33%"
"04/30/2025","1.1329","1.1386","1.1400","1.1317","","-0.50%"
"04/29/2025","1.1386","1.1422","1.1423","1.1370","","-0.32%"
"04/28/2025","1.1422","1.1375","1.1425","1.1329","","0.50%"
"04/25/2025","1.1365","1.1389","1.1395","1.1315","","-0.21%"
"04/24/2025","1.1389","1.1315","1.1399","1.1313","","0.65%"
"04/23/2025","1.1315","1.1422","1.1441","1.1308","","-0.92%"
"04/22/2025","1.1420","1.1515","1.1548","1.1417","","-0.81%"
"04/21/2025","1.1513","1.1385","1.1574","1.1388","","1.07%"
"04/18/2025","1.1391","1.1367","1.1399","1.1358","","0.25%"
"04/17/2025","1.1363","1.1395","1.1410","1.1336","","-0.31%"
"04/16/2025","1.1398","1.1283","1.1413","1.1281","","1.04%"
"04/15/2025","1.1281","1.1349","1.1379","1.1264","","-0.60%"
"04/14/2025","1.1349","1.1313","1.1425","1.1282","","-0.10%"
"04/11/2025","1.1360","1.1202","1.1475","1.1189","","1.46%"
"04/10/2025","1.1197","1.0951","1.1242","1.0943","","2.25%"
"04/09/2025","1.0951","1.0959","1.1096","1.0913","","-0.05%"
"04/08/2025","1.0956","1.0905","1.0993","1.0888","","0.48%"
"04/07/2025","1.0904","1.0946","1.1051","1.0883","","-0.47%"